backtrader_rank,symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
138,XRP/USDT,short,35,20,0.236,0.386,0.038,0.043,8,0.3203125309870068,14,0.3571428571428571,228.7946649907192
139,XRP/USDT,short,30,20,0.236,0.386,0.047,0.043,8,0.3194795451909819,14,0.3571428571428571,228.19967513641564
140,XRP/USDT,short,30,20,0.236,0.436,0.044,0.038,8,0.3840566842680724,17,0.3529411764705882,225.91569662827789
141,XRP/USDT,short,30,20,0.236,0.436,0.041,0.038,8,0.376375076170843,17,0.3529411764705882,221.3971036299077
142,XRP/USDT,short,30,20,0.236,0.436,0.047,0.038,8,0.3735883346819142,17,0.3529411764705882,219.75784393053772
143,XRP/USDT,short,30,20,0.236,0.436,0.038,0.038,8,0.362227957860532,17,0.3529411764705882,213.0752693297248
144,XRP/USDT,short,35,20,0.236,0.436,0.038,0.043,8,0.3133571260289273,17,0.3529411764705882,184.32772119348667
145,XRP/USDT,short,40,20,0.236,0.436,0.038,0.043,8,0.3058051087661532,17,0.3529411764705882,179.88535809773722
146,XRP/USDT,short,55,20,0.236,0.436,0.047,0.018,21,0.2139409429074042,12,0.5,178.28411908950355
147,XRP/USDT,short,55,20,0.236,0.436,0.047,0.023,21,0.2093326036317621,12,0.5,174.44383635980182
148,XRP/USDT,short,80,20,0.236,0.436,0.032,0.018,21,0.1968811601076689,12,0.5,164.06763342305746
149,XRP/USDT,short,50,20,0.236,0.436,0.047,0.018,21,0.2761014582586777,17,0.4117647058823529,162.41262250510457
150,XRP/USDT,short,50,20,0.236,0.436,0.047,0.023,21,0.2714931189830357,17,0.4117647058823529,159.70183469590336
