rank,param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed
32,short_cand_032_BNB_USDT,BNB/USDT,short,30,20,0.236,0.336,0.008,0.013,25,False,disabled,20,0.0,"1D, 4H->1D",61,39,0.5409836065573771,1.6512611180130512,100.72692819879612,0.020145385639759223,5100.726928198806,5140.657654602518,68.32732726224458,1.3313903078960874,False,11.582470423044345,True,4
58,short_cand_058_BTC_USDT,BTC/USDT,short,30,20,0.236,0.336,0.008,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",57,38,0.5789473684210527,1.6704585894203143,95.21613959695792,0.019043227919391583,5095.216139596967,5114.507785691115,73.32013094644844,1.4633206676798027,False,12.252824695530306,True,4
50,short_cand_050_BTC_USDT,BTC/USDT,short,30,20,0.236,0.336,0.014,0.013,25,False,disabled,20,0.0,"1D, 4H->1D",58,37,0.5344827586206896,1.5929930149217721,92.39359486546279,0.018478718973092556,5092.393594865472,5132.324321269184,68.32732726224458,1.3335654912860413,False,12.627137934891344,True,4
45,short_cand_045_BNB_USDT,BNB/USDT,short,45,20,0.236,0.336,0.008,0.018,25,False,disabled,20,0.0,"1D, 4H->1D",69,44,0.5072463768115942,1.2882983685915845,88.89258743281933,0.017778517486563866,5088.89258743283,5124.784909674912,73.53749167533442,1.4413002955729988,False,13.124453909594846,True,4
99,short_cand_099_LINK_USDT,LINK/USDT,short,65,20,0.236,0.636,0.055,0.048,8,False,disabled,20,0.0,"1D, 4H->1D",77,52,0.5194805194805194,1.148939312042002,88.46832702723415,0.01769366540544683,5088.468327027244,5109.324808833028,125.05505015390827,2.4475846581081013,False,13.187393792441892,True,4
136,short_cand_136_XRP_USDT,XRP/USDT,short,30,20,0.236,0.386,0.044,0.043,8,False,disabled,20,0.0,"1D, 4H->1D",96,65,0.5208333333333334,0.9123832945525984,87.58879627704944,0.01751775925540989,5087.588796277062,5099.5768681624695,114.52521410048485,2.2493777793823244,False,13.319816189463541,True,4
31,short_cand_031_BNB_USDT,BNB/USDT,short,30,20,0.236,0.336,0.005,0.013,25,False,disabled,20,0.0,"1D, 4H->1D",60,39,0.5333333333333333,1.4010043588688244,84.06026153212946,0.016812052306425893,5084.060261532139,5138.0118973961535,82.34823672254697,1.6027256917073216,False,13.878932154175427,True,4
37,short_cand_037_BNB_USDT,BNB/USDT,short,30,20,0.236,0.336,0.002,0.013,25,False,disabled,20,0.0,"1D, 4H->1D",60,39,0.5333333333333333,1.4010043588688244,84.06026153212946,0.016812052306425893,5084.060261532139,5138.0118973961535,82.34823672254697,1.6027256917073216,False,13.878932154175427,True,4
59,short_cand_059_BTC_USDT,BTC/USDT,short,75,20,0.236,0.436,0.008,0.018,8,False,disabled,20,0.0,"1D, 4H->1D",60,41,0.55,1.3620493586783347,81.72296152070008,0.016344592304140017,5081.722961520709,5092.755383844332,105.99632959471273,2.0898026364798845,False,14.275873572828795,True,4
43,short_cand_043_BNB_USDT,BNB/USDT,short,35,20,0.236,0.336,0.008,0.013,25,False,disabled,20,0.0,"1D, 4H->1D",61,40,0.5245901639344263,1.2141026480676957,74.06026153212945,0.014812052306425889,5074.060261532139,5123.990987935851,79.97441237787461,1.560783626789545,False,15.752937439473316,True,4
102,short_cand_102_LINK_USDT,LINK/USDT,short,60,20,0.236,0.636,0.053,0.043,8,False,disabled,20,0.0,"1D, 4H->1D",71,48,0.5070422535211268,1.011290990993908,71.80166036056747,0.014360332072113494,5071.8016603605765,5103.39713926781,131.57713008680093,2.578226355820673,False,16.248463626161282,True,4
36,short_cand_036_BNB_USDT,BNB/USDT,short,40,20,0.236,0.336,0.008,0.013,25,False,disabled,20,0.0,"1D, 4H->1D",59,38,0.5084745762711864,1.1987614948948493,70.7269281987961,0.014145385639759221,5070.726928198805,5120.657654602517,79.97441237787461,1.5617996314593015,False,16.495367413489987,True,4
100,short_cand_100_LINK_USDT,LINK/USDT,short,60,20,0.236,0.636,0.055,0.043,8,False,disabled,20,0.0,"1D, 4H->1D",69,47,0.5072463768115942,0.9439854158536349,65.13499369390081,0.013026998738780162,5065.13499369391,5103.39713926781,131.57713008680093,2.578226355820673,False,17.911518839617433,True,4
139,short_cand_139_XRP_USDT,XRP/USDT,short,30,20,0.236,0.386,0.047,0.043,8,False,disabled,20,0.0,"1D, 4H->1D",91,62,0.5054945054945055,0.6694739517624481,60.922129610382775,0.012184425922076554,5060.922129610394,5073.084175553648,114.52521410048485,2.2575066791196345,False,19.150129421408728,True,4
39,short_cand_039_BNB_USDT,BNB/USDT,short,35,20,0.236,0.336,0.005,0.013,25,False,disabled,20,0.0,"1D, 4H->1D",60,40,0.5166666666666667,0.9565599144243796,57.393594865462774,0.011478718973092555,5057.393594865472,5121.3452307294865,93.995321838177,1.8353639054477153,False,20.327471548026725,False,4
34,short_cand_034_BNB_USDT,BNB/USDT,short,40,20,0.236,0.336,0.005,0.013,25,False,disabled,20,0.0,"1D, 4H->1D",58,38,0.5,0.932073474691887,54.060261532129445,0.010812052306425889,5054.060261532138,5118.011897396153,93.995321838177,1.8365592679844729,False,21.580855023671806,False,4
41,short_cand_041_BNB_USDT,BNB/USDT,short,40,20,0.236,0.336,0.002,0.013,25,False,disabled,20,0.0,"1D, 4H->1D",58,38,0.5,0.932073474691887,54.060261532129445,0.010812052306425889,5054.060261532138,5118.011897396153,93.995321838177,1.8365592679844729,False,21.580855023671806,False,4
54,short_cand_054_BTC_USDT,BTC/USDT,short,30,20,0.236,0.336,0.005,0.018,8,False,disabled,20,0.0,"1D, 4H->1D",55,37,0.509090909090909,0.7615055684295379,41.88280626362458,0.008376561252724917,5041.882806263632,5067.919916623879,82.84194906882476,1.6403370438292486,False,27.855503743547448,False,4
55,short_cand_055_BTC_USDT,BTC/USDT,short,55,20,0.236,0.336,0.002,0.013,25,False,disabled,20,0.0,"1D, 4H->1D",48,33,0.4791666666666667,0.1887554485860302,9.060261532129449,0.0018120523064258896,5009.060261532136,5073.011897396151,93.995321838177,1.852850411930286,False,128.7674381726665,False,4
