combined_rank,daily_analysis_rank,daily_rank,daily_param_id,source_symbol,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_ema_period,confirm_min_distance,confirm_mode,assets_with_real_4h,assets_with_daily_fallback,total_trades,win_rate,expectancy,total_profit,total_return,param_id
65,7,32,cand_032_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,True,30,0.008,close_above_ema,4,6,100,0.17,61.12793875587797,6112.793875587797,0.6112793875587796,cand_032_ETH_USDT__4h_ema30_dist0.008
66,7,32,cand_032_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,True,25,0.008,close_above_ema,4,6,98,0.17346938775510204,57.39330490633546,5624.543880820875,0.5624543880820875,cand_032_ETH_USDT__4h_ema25_dist0.008
67,7,32,cand_032_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,True,20,0.0,close_above_ema,4,6,106,0.19811320754716982,57.07827215965559,6050.296848923493,0.6050296848923493,cand_032_ETH_USDT__4h_ema20_dist0.000
68,7,32,cand_032_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,True,15,0.004,close_above_ema,4,6,87,0.20689655172413793,51.648331662527426,4493.404854639886,0.44934048546398864,cand_032_ETH_USDT__4h_ema15_dist0.004
69,7,32,cand_032_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,True,25,0.0,close_above_ema,4,6,113,0.18584070796460178,51.3475284058134,5802.270709856914,0.5802270709856915,cand_032_ETH_USDT__4h_ema25_dist0.000
70,6,31,cand_031_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,True,30,0.008,close_above_ema,4,6,93,0.15053763440860216,47.01776825238393,4372.652447471705,0.43726524474717055,cand_031_ETH_USDT__4h_ema30_dist0.008
71,6,31,cand_031_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,True,20,0.004,close_above_ema,4,6,94,0.18085106382978725,46.566328681335534,4377.23489604554,0.43772348960455404,cand_031_ETH_USDT__4h_ema20_dist0.004
72,6,31,cand_031_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,True,25,0.008,close_above_ema,4,6,91,0.15384615384615385,42.6857412385141,3884.402452704783,0.3884402452704783,cand_031_ETH_USDT__4h_ema25_dist0.008
73,7,32,cand_032_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,True,30,0.0,close_above_ema,4,6,110,0.17272727272727273,42.41878761263095,4666.066637389405,0.46660666373894044,cand_032_ETH_USDT__4h_ema30_dist0.000
74,7,32,cand_032_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,True,25,0.004,close_above_ema,4,6,106,0.1792452830188679,40.830419275662635,4328.024443220239,0.4328024443220239,cand_032_ETH_USDT__4h_ema25_dist0.004
75,7,32,cand_032_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,True,30,0.004,close_above_ema,4,6,107,0.16822429906542055,40.02936066156757,4283.14159078773,0.428314159078773,cand_032_ETH_USDT__4h_ema30_dist0.004
76,7,32,cand_032_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.043,18,True,15,0.0,close_above_ema,4,6,99,0.20202020202020202,39.012531581757294,3862.240626593972,0.38622406265939724,cand_032_ETH_USDT__4h_ema15_dist0.000
77,6,31,cand_031_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,True,25,0.0,close_above_ema,4,6,106,0.16981132075471697,38.321974356045494,4062.1292817408225,0.4062129281740823,cand_031_ETH_USDT__4h_ema25_dist0.000
78,6,31,cand_031_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,True,20,0.0,close_above_ema,4,6,100,0.18,34.748025497639794,3474.8025497639796,0.34748025497639795,cand_031_ETH_USDT__4h_ema20_dist0.000
79,6,31,cand_031_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,True,30,0.0,close_above_ema,4,6,103,0.1553398058252427,28.407040866731197,2925.925209273313,0.2925925209273313,cand_031_ETH_USDT__4h_ema30_dist0.000
80,6,31,cand_031_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,True,15,0.008,close_above_ema,4,6,74,0.17567567567567569,26.595869823528197,1968.0943669410865,0.19680943669410864,cand_031_ETH_USDT__4h_ema15_dist0.008
81,6,31,cand_031_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,True,25,0.004,close_above_ema,4,6,99,0.16161616161616163,26.14023247579947,2587.8830151041475,0.25878830151041476,cand_031_ETH_USDT__4h_ema25_dist0.004
82,6,31,cand_031_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,True,30,0.004,close_above_ema,4,6,100,0.15,25.430001626716386,2543.0001626716385,0.25430001626716386,cand_031_ETH_USDT__4h_ema30_dist0.004
83,6,31,cand_031_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,True,15,0.004,close_above_ema,4,6,81,0.18518518518518517,19.407721843849508,1572.0254693518102,0.15720254693518101,cand_031_ETH_USDT__4h_ema15_dist0.004
84,6,31,cand_031_ETH_USDT,ETH/USDT,30,20,0.236,0.536,0.014,0.038,18,True,15,0.0,close_above_ema,4,6,94,0.18085106382978725,6.58816021948952,619.2870606320149,0.06192870606320149,cand_031_ETH_USDT__4h_ema15_dist0.000
