symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
AVAX/USDT,short,35,20,0.236,0.336,0.05,0.053,10,1.275353658977019,12,0.5,1062.7947158141824
AVAX/USDT,short,40,20,0.236,0.286,0.02,0.058,8,1.2619476583769489,12,0.5833333333333334,1051.6230486474572
AVAX/USDT,short,40,20,0.236,0.286,0.023,0.058,8,1.2619476583769489,12,0.5833333333333334,1051.6230486474572
AVAX/USDT,short,40,20,0.236,0.286,0.026,0.063,8,1.261762029243635,12,0.5833333333333334,1051.4683577030291
AVAX/USDT,short,40,20,0.236,0.286,0.029,0.063,8,1.261762029243635,12,0.5833333333333334,1051.4683577030291
AVAX/USDT,short,30,20,0.236,0.286,0.02,0.058,8,1.2597968044724024,12,0.5833333333333334,1049.8306703936687
AVAX/USDT,short,30,20,0.236,0.286,0.023,0.058,8,1.2597968044724024,12,0.5833333333333334,1049.8306703936687
AVAX/USDT,short,35,20,0.236,0.286,0.02,0.058,8,1.2597968044724024,12,0.5833333333333334,1049.8306703936687
AVAX/USDT,short,35,20,0.236,0.286,0.023,0.058,8,1.2597968044724024,12,0.5833333333333334,1049.8306703936687
AVAX/USDT,short,30,20,0.236,0.286,0.026,0.063,8,1.2596111753390888,12,0.5833333333333334,1049.675979449241
AVAX/USDT,short,30,20,0.236,0.286,0.029,0.063,8,1.2596111753390888,12,0.5833333333333334,1049.675979449241
AVAX/USDT,short,35,20,0.236,0.286,0.026,0.063,8,1.2596111753390888,12,0.5833333333333334,1049.675979449241
AVAX/USDT,short,35,20,0.236,0.286,0.029,0.063,8,1.2596111753390888,12,0.5833333333333334,1049.675979449241
AVAX/USDT,short,40,20,0.236,0.286,0.002,0.053,14,1.4392243128933164,14,0.6428571428571429,1028.017366352369
AVAX/USDT,short,40,20,0.236,0.286,0.005,0.053,14,1.4392243128933164,14,0.6428571428571429,1028.017366352369
AVAX/USDT,short,40,20,0.236,0.286,0.008,0.053,14,1.4392243128933164,14,0.6428571428571429,1028.017366352369
AVAX/USDT,short,30,20,0.236,0.286,0.002,0.053,14,1.4370734589887704,14,0.6428571428571429,1026.481042134836
AVAX/USDT,short,30,20,0.236,0.286,0.005,0.053,14,1.4370734589887704,14,0.6428571428571429,1026.481042134836
AVAX/USDT,short,30,20,0.236,0.286,0.008,0.053,14,1.4370734589887704,14,0.6428571428571429,1026.481042134836
AVAX/USDT,short,35,20,0.236,0.286,0.002,0.053,14,1.4370734589887704,14,0.6428571428571429,1026.481042134836
AVAX/USDT,short,35,20,0.236,0.286,0.005,0.053,14,1.4370734589887704,14,0.6428571428571429,1026.481042134836
AVAX/USDT,short,35,20,0.236,0.286,0.008,0.053,14,1.4370734589887704,14,0.6428571428571429,1026.481042134836
AVAX/USDT,short,40,20,0.236,0.336,0.055,0.068,8,1.3066937563670222,13,0.5384615384615384,1005.149043359248
AVAX/USDT,short,30,20,0.236,0.336,0.055,0.068,8,1.304542902462476,13,0.5384615384615384,1003.4945403557508
AVAX/USDT,short,35,20,0.236,0.336,0.055,0.068,8,1.304542902462476,13,0.5384615384615384,1003.4945403557508
AVAX/USDT,short,40,20,0.236,0.286,0.026,0.058,10,1.2009227865046117,12,0.5833333333333334,1000.7689887538432
AVAX/USDT,short,40,20,0.236,0.286,0.029,0.058,10,1.2009227865046117,12,0.5833333333333334,1000.7689887538432
AVAX/USDT,short,40,20,0.236,0.286,0.032,0.058,10,1.2009227865046117,12,0.5833333333333334,1000.7689887538432
AVAX/USDT,short,40,20,0.236,0.286,0.035,0.058,10,1.2009227865046117,12,0.5833333333333334,1000.7689887538432
AVAX/USDT,short,40,20,0.236,0.286,0.038,0.058,10,1.2009227865046117,12,0.5833333333333334,1000.7689887538432
AVAX/USDT,short,40,20,0.236,0.286,0.041,0.058,10,1.2009227865046117,12,0.5833333333333334,1000.7689887538432
AVAX/USDT,short,40,20,0.236,0.286,0.044,0.058,10,1.2009227865046117,12,0.5833333333333334,1000.7689887538432
