combined_rank,param_id,daily_param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,total_trades,win_rate,expectancy,total_profit,total_return
1,short_cand_068_DOGE_USDT__4h_ema15_dist0.000,short_cand_068_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,15,0.0,44,0.38636363636363635,329.91840440874915,14516.409793984963,1.4516409793984963
2,short_cand_068_DOGE_USDT__4h_ema20_dist0.000,short_cand_068_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,20,0.0,47,0.3617021276595745,303.97450783933095,14286.801868448554,1.4286801868448553
3,short_cand_068_DOGE_USDT__4h_ema15_dist0.004,short_cand_068_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,15,0.004,34,0.35294117647058826,278.21299926335837,9459.241974954184,0.9459241974954185
4,short_cand_068_DOGE_USDT__4h_ema15_dist0.008,short_cand_068_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,True,close_below_ema,15,0.008,23,0.30434782608695654,241.57256840376493,5556.169073286594,0.5556169073286593
5,short_cand_062_DOGE_USDT__4h_ema20_dist0.000,short_cand_062_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.0,71,0.3380281690140845,220.30416409295518,15641.595650599818,1.5641595650599818
6,short_cand_071_DOGE_USDT__4h_ema15_dist0.008,short_cand_071_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,15,0.008,73,0.3424657534246575,217.78407726617914,15898.237640431078,1.5898237640431079
7,short_cand_079_ETH_USDT__4h_ema15_dist0.000,short_cand_079_ETH_USDT,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,True,close_below_ema,15,0.0,64,0.3125,212.91480157909464,13626.547301062057,1.3626547301062057
8,short_cand_067_DOGE_USDT__4h_ema20_dist0.000,short_cand_067_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.0,74,0.33783783783783783,210.232252247272,15557.186666298127,1.5557186666298126
9,short_cand_071_DOGE_USDT__4h_ema20_dist0.004,short_cand_071_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,20,0.004,92,0.31521739130434784,204.33662088134363,18798.969121083614,1.8798969121083613
10,short_cand_061_DOGE_USDT__4h_ema20_dist0.000,short_cand_061_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.0,73,0.3287671232876712,203.78880407688715,14876.582697612761,1.4876582697612761
11,short_cand_071_DOGE_USDT__4h_ema25_dist0.000,short_cand_071_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,25,0.0,101,0.3069306930693069,202.8336699887415,20486.20066886289,2.048620066886289
12,short_cand_071_DOGE_USDT__4h_ema20_dist0.008,short_cand_071_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,20,0.008,83,0.3373493975903614,201.57875104983717,16731.036337136484,1.6731036337136485
13,short_cand_071_DOGE_USDT__4h_ema25_dist0.004,short_cand_071_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,25,0.004,94,0.30851063829787234,199.28252206231102,18732.557073857235,1.8732557073857234
14,short_cand_071_DOGE_USDT__4h_ema30_dist0.004,short_cand_071_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,30,0.004,95,0.30526315789473685,196.22751944926418,18641.614347680097,1.8641614347680098
15,short_cand_071_DOGE_USDT__4h_ema30_dist0.000,short_cand_071_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,30,0.0,101,0.297029702970297,191.94537969964225,19386.483349663868,1.9386483349663868
