symbol,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
SOL/USDT,80,20,0.236,0.386,0.017,0.068,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,80,20,0.236,0.386,0.017,0.07,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,85,20,0.236,0.386,0.014,0.043,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,85,20,0.236,0.386,0.017,0.043,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,85,20,0.236,0.386,0.014,0.048,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,85,20,0.236,0.386,0.017,0.048,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,85,20,0.236,0.386,0.014,0.053,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,85,20,0.236,0.386,0.017,0.053,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,85,20,0.236,0.386,0.014,0.058,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,85,20,0.236,0.386,0.017,0.058,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,85,20,0.236,0.386,0.014,0.063,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,85,20,0.236,0.386,0.017,0.063,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,85,20,0.236,0.386,0.017,0.068,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,85,20,0.236,0.386,0.017,0.07,8,1.636001390349506,12,0.5,1363.3344919579215
SOL/USDT,90,20,0.236,0.436,0.026,0.023,8,1.764771922761005,13,0.3846153846153846,1357.5168636623116
SOL/USDT,75,20,0.236,0.386,0.02,0.043,8,1.6231798462793905,12,0.5,1352.6498718994922
SOL/USDT,75,20,0.236,0.386,0.02,0.048,8,1.6231798462793905,12,0.5,1352.6498718994922
SOL/USDT,75,20,0.236,0.386,0.02,0.053,8,1.6231798462793905,12,0.5,1352.6498718994922
SOL/USDT,75,20,0.236,0.386,0.02,0.058,8,1.6231798462793905,12,0.5,1352.6498718994922
SOL/USDT,75,20,0.236,0.386,0.02,0.063,8,1.6231798462793905,12,0.5,1352.6498718994922
SOL/USDT,75,20,0.236,0.386,0.02,0.068,8,1.6231798462793905,12,0.5,1352.6498718994922
SOL/USDT,75,20,0.236,0.386,0.02,0.07,8,1.6231798462793905,12,0.5,1352.6498718994922
SOL/USDT,65,20,0.236,0.386,0.008,0.043,8,1.6209778015195242,12,0.5,1350.8148345996035
SOL/USDT,65,20,0.236,0.386,0.011,0.043,8,1.6209778015195242,12,0.5,1350.8148345996035
SOL/USDT,65,20,0.236,0.386,0.008,0.048,8,1.6209778015195242,12,0.5,1350.8148345996035
SOL/USDT,65,20,0.236,0.386,0.011,0.048,8,1.6209778015195242,12,0.5,1350.8148345996035
